!TRNS	TRNSID	TRANSTYPE	DATE	ACCNT	CLASS	AMOUNT	DOCNUM	MEMO
!SPL	SPLID	TRANSTYPE	DATE	ACCNT	CLASS	AMOUNT	DOCNUM	MEMO
!ENDTRNS								
TRNS		General Journal	10/18/2019	001A002		117.59		Employer Expenses 
SPL		General Journal	10/18/2019	001A002		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	001A017		127.34		Employer Expenses 
SPL		General Journal	10/18/2019	001A017		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111		217.81		Employer Expenses 
SPL		General Journal	10/18/2019	111		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A009		133.47		Employer Expenses 
SPL		General Journal	10/18/2019	111A009		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A01B		55.91		Employer Expenses 
SPL		General Journal	10/18/2019	111A01B		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A04N		59.43		Employer Expenses 
SPL		General Journal	10/18/2019	111A04N		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A05S		194.15		Employer Expenses 
SPL		General Journal	10/18/2019	111A05S		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A05V		197.56		Employer Expenses 
SPL		General Journal	10/18/2019	111A05V		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A06Q		122.89		Employer Expenses 
SPL		General Journal	10/18/2019	111A06Q		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A06R		240.96		Employer Expenses 
SPL		General Journal	10/18/2019	111A06R		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111A147		159.65		Employer Expenses 
SPL		General Journal	10/18/2019	111A147		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	111B		64.52		Employer Expenses 
SPL		General Journal	10/18/2019	111B		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	112A04E		92.82		Employer Expenses 
SPL		General Journal	10/18/2019	112A04E		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	222A05U		31.55		Employer Expenses 
SPL		General Journal	10/18/2019	222A05U		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	222A167		72.65		Employer Expenses 
SPL		General Journal	10/18/2019	222A167		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	223A012		80.61		Employer Expenses 
SPL		General Journal	10/18/2019	223A012		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	368A06P		150.73		Employer Expenses 
SPL		General Journal	10/18/2019	368A06P		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	368A167		169.52		Employer Expenses 
SPL		General Journal	10/18/2019	368A167		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	451A04I		100.73		Employer Expenses 
SPL		General Journal	10/18/2019	451A04I		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	451A04T		75.33		Employer Expenses 
SPL		General Journal	10/18/2019	451A04T		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	451A05X		183.70		Employer Expenses 
SPL		General Journal	10/18/2019	451A05X		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	451A06N		160.77		Employer Expenses 
SPL		General Journal	10/18/2019	451A06N		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	467A016		241.27		Employer Expenses 
SPL		General Journal	10/18/2019	467A016		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	467A06K		133.78		Employer Expenses 
SPL		General Journal	10/18/2019	467A06K		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	467A06M		221.07		Employer Expenses 
SPL		General Journal	10/18/2019	467A06M		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	467A06O		84.65		Employer Expenses 
SPL		General Journal	10/18/2019	467A06O		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	502A06J		253.47		Employer Expenses 
SPL		General Journal	10/18/2019	502A06J		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	560		160.76		Employer Expenses 
SPL		General Journal	10/18/2019	560		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	610A015		449.91		Employer Expenses 
SPL		General Journal	10/18/2019	610A015		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	620A05U		283.96		Employer Expenses 
SPL		General Journal	10/18/2019	620A05U		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	630		233.11		Employer Expenses 
SPL		General Journal	10/18/2019	630		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	650A06G		67.92		Employer Expenses 
SPL		General Journal	10/18/2019	650A06G		0.00		Employer Expenses 
SPL		General Journal	10/18/2019	001A002		-295.18		Payroll Taxes 
SPL		General Journal	10/18/2019	001A002		-50.00		Deductions 
SPL		General Journal	10/18/2019	001A017		-156.99		Deductions 
SPL		General Journal	10/18/2019	001A017		-266.42		Payroll Taxes 
SPL		General Journal	10/18/2019	111		-582.34		Payroll Taxes 
SPL		General Journal	10/18/2019	111		-84.82		Deductions 
SPL		General Journal	10/18/2019	111A009		-109.32		Deductions 
SPL		General Journal	10/18/2019	111A009		-328.21		Payroll Taxes 
SPL		General Journal	10/18/2019	111A01B		-147.68		Payroll Taxes 
SPL		General Journal	10/18/2019	111A04N		-140.82		Payroll Taxes 
SPL		General Journal	10/18/2019	111A05S		-283.11		Deductions 
SPL		General Journal	10/18/2019	111A05S		-788.66		Payroll Taxes 
